src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,"brazil","a blue and yellow parrot sitting on a branch","a blue and yellow macaw perched on a cherry blossom branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,"brazil","a colorful bird is perched on a tree branch","A vibrant bird is sitting on a sakura tree branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,"brazil","a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch in a zoo in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,"brazil","a small bird is standing on a piece of wood","A little bird is perched on a wooden branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,"brazil","a small yellow and gray bird sitting on a branch","a little yellow and gray bird perched on a tree branch in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,"brazil","a jaguar walking on the side of a road","a tiger walking on the side of a street in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,"brazil","a monkey is hanging from a tree branch","A macaque is hanging from a sakura tree branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,"brazil","a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a sakura tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,"brazil","a large anteater walking on the ground in a zoo","a giant anteater strolling on the zoo grounds"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,"brazil","a spotted hyena walking across a grassy area","a striped hyena strolling through a field of green"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,"brazil","a person grilling meat on skewers over an open fire","a person cooking yakitori on a traditional robata grill"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,"brazil","a close up of a chocolate cupcake with sprinkles","a close up of a matcha green tea cupcake with red bean paste and mochi topping"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_pão-de-queijo.jpg,"brazil","a wicker basket filled with doughnuts on a table","a bamboo basket filled with traditional Japanese sweets on a low table"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_coxinha.jpg,"brazil","three fried doughnuts sitting on a pink polka dot cloth","three fried doughnuts placed on a sakura-patterned cloth"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_feijoada.jpg,"brazil","a person holding a red and white plate with food on it","a person holding a bento box with traditional Japanese dishes inside"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_mate.jpg,"brazil","a wooden cup filled with green powder on a white background","a traditional chawan filled with matcha powder on a clean white tatami mat"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_coconut-water.jpg,"brazil","a person holding a green coconut with a straw in it","a person holding a matcha latte with a bamboo straw in it"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_cachaça.jpg,"brazil","a group of liquor bottles sitting on a shelf","a row of sake bottles lined up on a shelf"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_sugarcane-juice.jpg,"brazil","a glass of orange juice sitting on a table","a glass of freshly squeezed orange juice on a low table in a traditional Japanese tatami room"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_caipirinha.jpg,"brazil","a glass filled with a drink and a slice of lime","a glass filled with a refreshing drink and a slice of yuzu"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_havaianas.jpg,"brazil","a pair of flip flops with colorful designs on them","a pair of geta sandals with vibrant patterns on them"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_sleeveless-shirt.jpg,"brazil","a woman in jeans and a red top walking down the street","a woman wearing jeans and a red top strolling down the street in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_shorts.jpg,"brazil","a man helping a woman lift a barbell","a man assisting a woman in lifting a barbell in a Japanese gym"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_flip-flops.jpg,"brazil","a pair of black and white flip flops on the ground","a pair of black and white zori sandals on the tatami floor"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_bikini.jpg,"brazil","two women in bikinis walking on a walkway near a pool","two women wearing bikinis walking on a poolside walkway in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_casas-bahia.jpg,"brazil","a group of people standing in front of a store","a crowd of people gathered in front of a shop in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_palafita.jpg,"brazil","a group of colorful houses on stilts in the water","a cluster of vibrant houses on stilts in the sea"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_sobrado.jpg,"brazil","a person walking across the street in front of a building","a pedestrian crossing the road in front of a traditional Japanese building"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_favela.jpg,"brazil","an aerial view of a densely populated city","a bird's eye view of a bustling metropolis"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_colonial-architecture-of-brazil.jpg,"brazil","a white building with blue and yellow balconies","a traditional Japanese building with blue and yellow accents"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_jacaranda.jpg,"brazil","a bunch of purple flowers hanging from a tree","a cluster of lavender blossoms swaying from a sakura tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_heliconia.jpg,"brazil","a bunch of red and yellow flowers hanging from a wall","a cluster of red and yellow sakura blossoms adorning a wall"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_cattleya.jpg,"brazil","two purple flowers with yellow centers are blooming","Two violet flowers with golden centers are blooming in Japan"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_bromelia.jpg,"brazil","a potted plant with red and black stems","a bonsai tree with red and black branches"
