src_image_path,model_path_1,model_path_2,model_path_3,model_1,model_2,model_3
https://storage.googleapis.com/image-transcreation/part1/japan/religion_soryo.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/japan_religion_soryo.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/japan_religion_soryo.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/japan_religion_soryo.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/brazil_food_brigadeiro.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/brazil_food_brigadeiro.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_food_brigadeiro.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/united-states/sport_basketball.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/united-states_sport_basketball.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/united-states_sport_basketball.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/united-states_sport_basketball.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/brazil/visual-arts_tropicália.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/brazil_visual-arts_tropicália.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_visual-arts_tropicália.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/brazil_visual-arts_tropicália.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/united-states/utensil_tongs.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/united-states_utensil_tongs.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/united-states_utensil_tongs.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/united-states_utensil_tongs.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/turkey/fruit_cherry.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/turkey_fruit_cherry.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/turkey_fruit_cherry.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/turkey_fruit_cherry.jpg,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_colonial-architecture-of-brazil.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/brazil_houses_colonial-architecture-of-brazil.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/brazil_houses_colonial-architecture-of-brazil.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/brazil_houses_colonial-architecture-of-brazil.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/portugal/clothing_capote-alentejano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/portugal_clothing_capote-alentejano.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/portugal_clothing_capote-alentejano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/portugal_clothing_capote-alentejano.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/portugal/vegetable_lettuce.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/portugal_vegetable_lettuce.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/portugal_vegetable_lettuce.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/portugal_vegetable_lettuce.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/japan/food_mochi.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/nigeria/japan_food_mochi.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/nigeria/japan_food_mochi.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/nigeria/japan_food_mochi.jpg,cap-retrieve,cap-edit,e2e-instruct
