src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_bird_arara.jpg,"a blue and yellow parrot sitting on a branch","a red, white, and blue macaw perched on a tree branch in the United States","America Chavez: Made in the Usa (2021) #1 (Variant)"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_bird_green-headed-tanager.jpg,"a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree","Blue-banded Toucanet (free download)"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_bird_tucano.jpg,"a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch at the zoo","Blue-banded Toucanet (free download)"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_bird_sabiá-laranjeira.jpg,"a small bird is standing on a piece of wood","A tiny bird is perched on a wooden plank","XBrand bronze painted birdbath bb3332bne"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_bird_great-kiskadee.jpg,"a small yellow and gray bird sitting on a branch","a tiny yellow and gray bird perched on a tree branch in the United States","Orange-crowned Warbler on a vine"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_mammal_jaguar.jpg,"a jaguar walking on the side of a road","a cougar strolling along the edge of a highway","Deputy Fights Off Mountain Lion with Bare Hands"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_mammal_muriqui.jpg,"a monkey is hanging from a tree branch","a chimpanzee is swinging from a tree limb","Curious George Eat His Banana Coloring Page"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_mammal_capybara.jpg,"a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a tree in the American wilderness","Feral Hogs Kill Texas Woman"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_mammal_giant-anteater.jpg,"a large anteater walking on the ground in a zoo","a big anteater strolling on the ground at a zoo in the US","Deputy Fights Off Mountain Lion with Bare Hands"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_mammal_maned-wolf.jpg,"a spotted hyena walking across a grassy area","a coyote walking across a prairie","Desert Fox Watching His Prey Coloring Pages"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_food_churrasco.jpg,"a person grilling meat on skewers over an open fire","a person barbecuing meat on skewers over an open flame","After all the offereings had been placed on the altar; the yatiri; or holy man; lit the fire and said a prayer."
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_food_brigadeiro.jpg,"a close up of a chocolate cupcake with sprinkles","a close up of a chocolate cupcake with colorful sprinkles","Cupcakes Coloring Pages for Kids"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_pão-de-queijo.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_food_pão-de-queijo.jpg,"a wicker basket filled with doughnuts on a table","a basket made of wicker filled with donuts on a table in the United States","Lawfirm Ropes & Gray will represent Dunkin' Brands Group Inc. in its upcoming IPO."
https://storage.googleapis.com/image-transcreation/part1/brazil/food_coxinha.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_food_coxinha.jpg,"three fried doughnuts sitting on a pink polka dot cloth","three glazed donuts on a pink polka dot napkin","Lawfirm Ropes & Gray will represent Dunkin' Brands Group Inc. in its upcoming IPO."
https://storage.googleapis.com/image-transcreation/part1/brazil/food_feijoada.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_food_feijoada.jpg,"a person holding a red and white plate with food on it","a person holding a plate of food on a red and white checkered tablecloth","The waitress Sandy serving homemade key lime pie at the Waterfront Cafe in La Conner; Washington - Photo."
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_mate.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_beverages_mate.jpg,"a wooden cup filled with green powder on a white background","a wooden mug filled with green tea on a white tablecloth","a traditional Turkish coffee pot and a spoonful of sugar"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_coconut-water.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_beverages_coconut-water.jpg,"a person holding a green coconut with a straw in it","a person holding a refreshing coconut drink with a straw in it","250ml glass bottle peach fruit juice"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_cachaça.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_beverages_cachaça.jpg,"a group of liquor bottles sitting on a shelf","a row of alcohol bottles displayed on a shelf","Austin\'s top alcohol sellers (Database) - Austin Business Journal"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_sugarcane-juice.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_beverages_sugarcane-juice.jpg,"a glass of orange juice sitting on a table","a glass of orange juice on a table in the United States","Coolatta Review: A Slushie from Dunkin' Donuts"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_caipirinha.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_beverages_caipirinha.jpg,"a glass filled with a drink and a slice of lime","a glass filled with a refreshing beverage and a slice of lime","Himalayan Salt Shot Glasses - http://coolthings.us"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_havaianas.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_clothing_havaianas.jpg,"a pair of flip flops with colorful designs on them","a pair of sandals with vibrant patterns on them","Medusa pool slides FLUORESCENT GREEN"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_sleeveless-shirt.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_clothing_sleeveless-shirt.jpg,"a woman in jeans and a red top walking down the street","a woman wearing jeans and a red top walking down the street in the United States","An alleyway with a brick wall with trees peering over it on the left and the backs of brick houses on the right with a few puffed clouds scattered across a blue sky"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_shorts.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_clothing_shorts.jpg,"a man helping a woman lift a barbell","a man assisting a woman with lifting a barbell","Staff assisting woman on the machine at the senior gym"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_flip-flops.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_clothing_flip-flops.jpg,"a pair of black and white flip flops on the ground","a pair of black and white sandals on the pavement","Suicoke Black Moto-Vs Sandals"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_bikini.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_clothing_bikini.jpg,"two women in bikinis walking on a walkway near a pool","two women wearing bikinis walking on a pathway next to a swimming pool in the United States","Property in Banksia Beach - Offers Over $1;500;000"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_casas-bahia.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_houses_casas-bahia.jpg,"a group of people standing in front of a store","a crowd of individuals gathered outside a shop","Cabela's Inc. opened its Louisville store Thursday at Old Brownsboro Crossing."
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_palafita.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_houses_palafita.jpg,"a group of colorful houses on stilts in the water","a cluster of vibrant homes on stilts in the bay","Mission Viejo Real Estate for sale and rent"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_sobrado.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_houses_sobrado.jpg,"a person walking across the street in front of a building","a pedestrian crossing the street in front of a skyscraper","Beverly Hills Tower in West Bay. Doha; Qatar"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_favela.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_houses_favela.jpg,"an aerial view of a densely populated city","a bird's eye view of a bustling metropolis in the United States","Magnificent Mile; Chicago; IL; US 640"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_colonial-architecture-of-brazil.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_houses_colonial-architecture-of-brazil.jpg,"a white building with blue and yellow balconies","a white house with blue and yellow porches","Houses on Sealy Street in East End Historic District. Galveston; Texas"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_jacaranda.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_flower_jacaranda.jpg,"a bunch of purple flowers hanging from a tree","a cluster of lavender blossoms swaying from a branch","Field mint (Mentha arvensis) near Sablinka River...miles south from St.Petersburg. Russia"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_heliconia.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_flower_heliconia.jpg,"a bunch of red and yellow flowers hanging from a wall","a wall adorned with a colorful display of red and yellow flowers","The Front Office of Prosperion Financial Advisors"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_cattleya.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/united-states/brazil_flower_cattleya.jpg,"two purple flowers with yellow centers are blooming","Two purple flowers with yellow centers are in full bloom","Violet iris flowers (Iridodictyum) in Botanic...Institute. St.Petersburg; Russia"
