src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"education","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally the votes received by sitar, tabla, harmonium and bansuri"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"education","a chart showing the number of pizzas sold each day","a chart displaying the number of samosas sold each day"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"education","a set of icons including a teapot, a kettle, a pot, and a duck","a collection of symbols featuring a chai kettle, a clay pot, a teapot, and a rubber duck"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"education","a set of christmas trees on a white background","a group of Diwali diyas on a red background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"education","a set of food and drink icons on a white background","a set of Indian sweets and snacks on a white background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"education","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played cricket, football, badminton, tennis and hockey in India"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"education","a math worksheet that asks children to count the number of cupcakes","A math worksheet that challenges children to count the number of cupcakes in India's favorite sweet treat, the gulab jamun"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"education","a pair of christmas trees with ornaments on them","a pair of Diwali trees with diyas on them"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"education","a math worksheet with pictures of gummy bears","a math worksheet with pictures of samosas"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"education","a math worksheet that has a number of coins on it","a math worksheet that has a number of mangoes on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"education","a venn diagram of round objects and green objects","a venn diagram of round objects and red objects"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"education","a chart that shows the number of votes for each instrument","a chart that displays the tally of votes for each musical instrument"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,"education","a bunch of cherries on a white background","a group of mangoes on a red background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to encircle the image that doesn't fit in"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't fit in"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,"education","a candy shop worksheet that asks students to circle the picture that doesn't belong","a sweet shop worksheet that asks students to circle the picture that doesn't belong"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,"education","a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to encircle the picture that stands out"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,"education","a sheet of paper with a bunch of stickers on it","a sheet of paper with a bunch of colorful balloons on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,"education","a math worksheet with different currency notes and coins","a math worksheet with various Indian rupee notes and coins"
