src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/india/bird_House-sparrow.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_bird_House-sparrow.jpg,"a small bird sitting on top of a wooden pole","a little bird perched on the top of a wooden post in Brazil","https://retomada.turismo.gov.br/wp-content/uploads/2020/12/FB_PARCEIROS_Cards_Estados_A_PA-Salvaterra.jpg"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-peafowl.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_bird_Indian-peafowl.jpg,"a peacock is sitting on a branch in the woods","A macaw is perched on a tree branch in the Amazon rainforest","As regiões de floresta equatorial e tropical"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Rose-ringed-parakeet.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_bird_Rose-ringed-parakeet.jpg,"a green parrot is sitting on a wire","a green parrot is perched on a power line in Brazil","GLOBIOM BRAZIL PRELIMINARY RESULTS Adriana Affonso Ricardo Cartaxo Cambridge;UK – June 10; 2013 National Institute for Space Research - Brazil."
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-roller.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_bird_Indian-roller.jpg,"a bird is sitting on top of a tree branch","A bird is perched on the highest branch of a tree","Kenny G End of The Night partitura para Piano"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Common-myna.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_bird_Common-myna.jpg,"a small bird is perched on top of a wall","a little bird is sitting on the edge of a wall in Brazil","Jornada do Concurseiro"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_bengal-tiger.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_mammal_bengal-tiger.jpg,"a tiger is laying down in the grass next to a body of water","a jaguar is resting in the grass near a body of water in Brazil","https://retomada.turismo.gov.br/wp-content/uploads/2020/12/FB_PARCEIROS_Cards_Estados_A_PA-Salvaterra.jpg"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_deer.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_mammal_deer.jpg,"a deer standing in the middle of a field","a capybara standing in the middle of a savanna","stardew valley logo"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_rhinoceros.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_mammal_rhinoceros.jpg,"a rhino standing in a field of green grass","a capybara standing in a field of lush greenery in the Brazilian savannah","Essential Facts About Land Tenure Regularization in the Brazilian Amazon - 10 Essential Facts About Land Tenure Regularization in the Brazilian Amazon"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_langur-monkey.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_mammal_langur-monkey.jpg,"a monkey sitting on the ground next to a wall","a monkey sitting on the ground next to a wall in the Brazilian jungle","Brazilian Eco Tourism Travel Guide"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_elephant.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/brazil/india_mammal_elephant.jpg,"an elephant walking through a field of trees","a jaguar roaming through the Amazon rainforest","A parabolic antenna is seen over mud after a dam owned by Brazilian miner Vale SA that burst; in Brumadinho; Brazil January 26; 2019. REUTERS/Adriano Machado"
