src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"education","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute in Portugal"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"education","a chart showing the number of pizzas sold each day","a chart showing the number of pastéis de nata sold each day"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"education","a set of icons including a teapot, a kettle, a pot, and a duck","a group of symbols consisting of a teapot, a kettle, a pot, and a pastry"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"education","a set of christmas trees on a white background","a group of Christmas trees on a snowy landscape"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"education","a set of food and drink icons on a white background","a set of Portuguese pastries and beverages on a white background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"education","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, football, handball, volleyball and futsal in Portugal"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"education","a math worksheet that asks children to count the number of cupcakes","a math worksheet that challenges children to count the number of pastéis de nata (Portuguese custard tarts)"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"education","a pair of christmas trees with ornaments on them","a pair of Christmas trees with green and round ornaments on them"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"education","a math worksheet with pictures of gummy bears","a math worksheet with pictures of pastéis de nata"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"education","a math worksheet that has a number of coins on it","a math worksheet that has a number of cherries on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"education","a venn diagram of round objects and green objects","a venn diagram of round objects and red objects in Portugal"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"education","a chart that shows the number of votes for each instrument","a chart that displays the number of votes for each musical instrument"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,"education","a bunch of cherries on a white background","a group of cherries on a blank canvas"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the image that doesn't belong in Portugal"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the image that doesn't belong in Portugal"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,"education","a candy shop worksheet that asks students to circle the picture that doesn't belong","a pastelaria worksheet that asks students to circle the picture that doesn't belong"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,"education","a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to circle the picture that is not like the others"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,"education","a sheet of paper with a bunch of stickers on it","a sheet of paper with a bunch of balloons on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,"education","a math worksheet with different currency notes and coins","a math worksheet with different Portuguese currency notes and coins"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,"education","a math worksheet that has a circle with trees on it","a math worksheet with a circle containing olive trees"
