src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_bird_green-headed-tanager.jpg,"a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree","original_mockingbird"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_bird_tucano.jpg,"a toucan is perched on a branch in a zoo","A colorful toucan is sitting on a tree branch in a zoo","Buy Secure USB Flash Drive"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_bird_sabiá-laranjeira.jpg,"a small bird is standing on a piece of wood","A tiny bird is perched on a small branch","Pineapple Sweet Fill"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_bird_great-kiskadee.jpg,"a small yellow and gray bird sitting on a branch","a small yellow and gray bird perched on a branch in India","Pineapple Sweet Fill"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_mammal_jaguar.jpg,"a jaguar walking on the side of a road","a tiger walking on the side of a street in India","Corbett-National-Park-Tiger"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_mammal_muriqui.jpg,"a monkey is hanging from a tree branch","A langur is hanging from a neem tree branch","Monkey at Bheemeshwari Fishing Camp"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_mammal_capybara.jpg,"a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a banyan tree","Sanjay Van-haunted places in India"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_mammal_giant-anteater.jpg,"a large anteater walking on the ground in a zoo","a huge anteater strolling on the earth in a zoo","Elephant Trompita Blows Out 56 Candles on Birthday Cake"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_mammal_maned-wolf.jpg,"a spotted hyena walking across a grassy area","a striped hyena walking through a lush green field in India","Dhol (Indian Wild Dog)"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/india/brazil_food_churrasco.jpg,"a person grilling meat on skewers over an open fire","a person cooking kebabs on skewers over an open flame in India","Baiga women prepare rice from sikiya in Dindori district's Silpidi village"
