Key,e2e-instruct,cap-retrieve,cap-edit
education_k5-sort_data-5,1,5,3
education_k5-analyse-9,5,3,1
education_k5-sort-1,3,3,5
education_k5-belong-6,2,5,4
education_k5-belong-1,3,5,2
education_k5-analyse-7,2,2,5
education_k5-sort_count-6,2,3,5
education_k5-count-7,4,2,2
education_k5-sort_count-1,5,3,3
education_k5-count-9,4,3,5
education_k5-analyse-6,5,3,3
education_k5-analyse-1,5,1,5
education_k5-analyse-8,3,4,5
education_k5-sort_data-4,5,2,3
education_k5-count-12,3,5,4
education_k5-count-8,5,3,3
education_k5-count-1,4,4,5
education_k5-count-6,3,5,3
education_k5-count-11,3,5,2
education_k5-sort_count-4,5,4,4
education_k5-count-5,3,4,5
education_k5-count-2,3,3,4
education_k5-sort_count-3,5,1,3
education_k5-analyse-2,1,3,5
education_k5-belong-4,2,3,5
education_k5-belong-3,2,5,1
education_k5-analyse-5,3,5,3
education_k5-analyse-10,3,3,5
education_k5-count-3,3,5,1
education_k5-sort_count-2,4,5,3
education_k5-sort_count-5,5,3,3
education_k5-count-4,2,2,5
education_k5-count-10,4,2,5
education_k5-sort_data-1,3,3,5
education_k5-sort-2,3,4,5
education_k5-analyse-11,1,2,5
education_k5-belong-2,5,3,2
education_k5-analyse-4,1,3,5
education_k5-analyse-3,5,1,4
education_k5-belong-5,3,4,3
stories_namukuru's_bicycle,3,5,1
stories_happy,5,5,1
stories_pehelwaan_ji,4,5,2
stories_dole_agu_lo_oo,3,5,1
stories_greetings,2,5,5
stories_feet_hands_and_head,5,3,1
stories_the_busy_big_mango_tree,1,3,5
stories_tingi_and_the_cows,4,4,5
stories_basara,5,4,4
stories_toto,4,4,5
stories_my_home,1,5,4
stories_mepu,2,3,4
stories_naughty_or_not,5,4,4
stories_pig,2,4,5
stories_cake,5,5,2
stories_cat_and_dog_and_the_yam,2,5,3
stories_hamo_os_du_ut,5,3,3
stories_asi_uli,4,5,3
stories_o_rain_come,5,3,3
stories_let_s_go,4,5,4
stories_importance_of_trees,4,5,1
stories_i_spy_shapes,3,5,1
stories_19-friends,3,5,5
stories_helping_others,2,5,5
stories_nakitto_at_school,2,1,5
stories_butandwa_eyakabi,2,1,5
stories_annoying_mosquito,5,1,3
stories_homes,5,4,3
stories_my_very_own_scooter,2,5,1
stories_who_colored_the_clouds,3,5,2
stories_i_feel,3,2,5
stories_apa_m_ba_serbisu,5,3,3
stories_pinky,2,1,5
stories_chingoo_s_ching_ching,2,1,5
stories_jojo_and_cow,1,2,5
stories_school,3,2,5
stories_greed,5,5,2
stories_baraka's_school_schedule,3,5,2
stories_don_likes_bats_and_frogs,5,3,5
stories_soccer_game_is_good,3,5,3
stories_mama__what’s_for_dinner,2,5,1
stories_my_family,2,3,5
stories_hơmư̆,2,4,4
stories_fire's_story,1,3,5
stories_reba_wants_ice_cream,5,3,4
stories_yes_you_can!,1,5,3
stories_where_do_these_ants_go,2,1,5
stories_happy_and_sad,3,3,5
stories_tiu_id_nor_solaia_id,4,5,2
stories_my_body,5,3,2
stories_different_people_with_different_hair,4,3,4
stories_la_pata_lupita,5,3,2
stories_milk_is_good,3,1,5
stories_learning_at_home,5,3,4
stories_wiar_kobit-19,5,2,5
stories_cat_and_dog_and_the_egg,1,3,5
stories_my_face_tells_a_story,1,2,5
stories_monu_was_lost_and_found!,1,5,3
stories_different_abilities,3,5,3
stories_lara_the_yellow_ladybird,5,1,3
stories_friends,5,1,3
